Base\Фактор\Конструкційні елементи\Опорні поверхні\Конічні;isCause;Base\Фактор\Напруження\Згину\Зменшення
Base\Фактор\Покриття\Цинкове;isCause;Base\Фактор\Тертя\Зміна коефіцієнта тертя під час повторних згвинчуваннях\Збільшується
Base\Фактор\Пошкодження\Знос\Зменшення;Not;Base\Фактор\Пошкодження\Знос
Base\Фактор\Геометричні параметри\Розмір\Типорозмір різьби\Великий;isCause;Base\Фактор\Масштабний фактор\Великі розміри
Base\Фактор\Матеріал\Високоміцні сталі болтів\Спеціальна термічна обробка високоміцних болтів з легованних сталей;isCause;Base\Фактор\Міцність
Base\Фактор\Матеріал\Структура матеріалу\Покращення;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Пошкодження\Знос\Ерозійний;SubClassOf;Base\Фактор\Пошкодження\Знос
Base\Фактор\Геометричні параметри\Допуск розміру\Малий;Not;Base\Фактор\Геометричні параметри\Допуск розміру\Великий
Base\Фактор\Геометричні параметри\Розмір\Товщина гайки\Велика;isCause;Base\Фактор\Міцність
Base\Фактор\Матеріал\Високоміцні сталі болтів\Границя міцності\1800-2100;isCause;Base\Фактор\Міцність\За зрізуючого навантаження
Base\Фактор\Пошкодження\Залишкова деформація\Деформація тіла гайки;SubClassOf;Base\Фактор\Пошкодження\Залишкова деформація
Base\Фактор\Складання\Селекційне складання;isCause;Base\Фактор\Геометричні параметри\Посадка\З зазором\Зменшення діаметральних зазорів
Base\Фактор\Деталі\Компенсатори температурних деформацій;isCause;Base\Фактор\Навантаження\Температурне\Зменшення
Base\Фактор\Матеріал\Технологічні дефекти матеріалів;isCause;Base\Фактор\Матеріал\Крихкість
Base\Фактор\Міцність\За статичного навантаження\Низька;isCause;Base\Фактор\Пошкодження\Залишкова деформація
Base\Фактор\Геометричні параметри\Розмір\Перекриття витків\Мале;Not;Base\Фактор\Геометричні параметри\Розмір\Перекриття витків\Велике
Base\Фактор\Матеріал\Титанові сплави;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\350-550
Base\Фактор\Жорсткість\З'єднуваних деталей\Мала;isCause;Base\Фактор\Пошкодження\Самовідгвинчування
Base\Фактор\Технологія\Технологічні дефекти;isCause;Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування
Base\Фактор\Тертя\На упорному бурті\Велике;Not;Base\Фактор\Тертя\На упорному бурті\Мале
Base\Фактор\Покриття\Мідне;isCause;Base\Фактор\Тертя\Зміна коефіцієнта тертя під час повторних згвинчуваннях\Збільшується
Base\Фактор\Загальні напрямки підвищення надійності\Вибір оптимальної технології;isCause;Base\Фактор\Геометричні параметри\Шорсткість\Низька
Base\Фактор\Пошкодження\Корозійне розтріскування;isCause;Base\Фактор\Пошкодження\Крихкий злам
Base\Фактор\Матеріал\Титанові сплави;isCause;Base\Фактор\Міцність
Base\Фактор\Пошкодження\Знос\Абразивний;SubClassOf;Base\Фактор\Пошкодження\Знос
Base\Фактор\Геометричні параметри\Розмір\Товщина гайки\Велика;Not;Base\Фактор\Геометричні параметри\Розмір\Товщина гайки\Мала
Base\Фактор\Покриття\Олов'яне;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\150
Base\Фактор\Геометричні параметри\Допуск форми\Перекос осей;Not;Base\Фактор\Геометричні параметри\Допуск форми\Перекос осей\Малий
Base\Фактор\Покриття\Оксидне з кислих розчинів;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\200
Base\Фактор\Пошкодження\Самовідгвинчування;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків
Base\Фактор\Конструкційні елементи\Різьба\Форма профілю\Спеціальна;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Матеріал\Бериллієві сплави;isCause;Base\Фактор\Матеріал\Токсичність
Base\Фактор\Пошкодження\Знос\Фретинговий;SubClassOf;Base\Фактор\Пошкодження\Знос
Base\Фактор\Матеріал\Бериллієві сплави;isCause;Base\Фактор\Технологія\Метод виготовлення\Накатування
Base\Фактор\Конструкційні елементи\Різьба\Крок\Змінний крок;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Складання\Попереднє пластичне деформування перших витків;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби\Низьке
Base\Фактор\Матеріал\Титанові сплави;isCause;Base\Фактор\Тертя\На упорному бурті\Велике
Base\Фактор\Деталі\Захисний ковпачок;isCause;Base\Фактор\Пошкодження при транспортуванні\Зменшення
Base\Фактор\Середовище\Інгібіторний захист;isCause;Base\Фактор\Пошкодження\Корозійна\Низька
Base\Фактор\Матеріал\Бесемерівська сталь;isCause;Base\Фактор\Матеріал\Наявність фосфору
Base\Фактор\Матеріал\Титанові сплави;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків\Зменшення
Base\Фактор\Матеріал\Високоміцні сталі болтів\Сталь1Х15Н4АМ3-Ш;SubClassOf;Base\Фактор\Матеріал\Високоміцні сталі болтів
Base\Фактор\Міцність\За статичного навантаження\Низька;isCause;Base\Фактор\Пошкодження\Крихкий злам
Base\Фактор\Конструкційні елементи\Різьба\Форма профілю\Прямокутна;isCause;Base\Фактор\Концентрація напружень\Нерівномірне навантаження по виткам різьби
Base\Фактор\Конструкційні елементи\Різьба\Форма профілю\Кругла;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Матеріал\Коефіцієнт лінійного розширення\Гайки\Великий;isCause;Base\Фактор\Пошкодження\Заїдання\Зменшення
Base\Фактор\Матеріал\Високоміцні сталі болтів\Границя міцності\1100-1400;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
Base\Фактор\Пошкодження\Корозійна;SubClassOf;Base\Фактор\Пошкодження
Base\Фактор\Пошкодження\Розгерметизація\Запобігання;Not;Base\Фактор\Пошкодження\Розгерметизація
Base\Фактор\Матеріал\Пластмасси;isCause;Base\Фактор\Пошкодження\Розгерметизація\Запобігання
Base\Фактор\Матеріал\Матеріали з метастабільною структурою і малою пластичністю;isCause;Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування
Base\Фактор\Покриття\Фосфатне;isCause;Base\Фактор\Температура\Робоча температура\Максимальна\200
Base\Фактор\Пошкодження\Крихкий злам\Уповільнене крихке руйнування;SubClassOf;Base\Фактор\Пошкодження\Крихкий злам
Base\Фактор\Матеріал\Ніобій;isCause;Base\Фактор\Матеріал\Холодноламкість\Низька
Base\Фактор\Матеріал\Співвідношення матеріалів\Різні механічні властивості болта і гайки;isCause;Base\Фактор\Пошкодження\Залишкова деформація\Зріз витків
Base\Фактор\Матеріал\Вуглець у поверхневих шарах\Оптимальний;isCause;Base\Фактор\Міцність\За циклічного навантаження\Висока
